"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"5625","RT @TheUSASingers: The Green New Deal, implemented worldwide, would bankrupt Putin once and for all.",FALSE,0,NA,2022-02-24 18:25:18,FALSE,NA,"1496914147656798213",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GuySouthaustin",94,TRUE,FALSE,NA,NA
"5626","Father are the political jerks going to destroy themselves with the green new deal.  Seems that they want to die.… https://t.co/1Gb6aAAs5t",FALSE,0,NA,2022-02-24 18:25:17,TRUE,NA,"1496914141889667076",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TBiech",0,FALSE,FALSE,NA,NA
"5627","Almost a year later and Varney is still lying about there being a Green New Deal in effect https://t.co/6ivRdErXXZ https://t.co/9pTJDhqaEK",FALSE,4,NA,2022-02-24 18:25:03,FALSE,NA,"1496914082850643976",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","theodorejay",2,FALSE,FALSE,NA,NA
"5628","@POTUS We are being made fools of by Russia, Iran, and China at least. By following the green new deal, and stoppin… https://t.co/UEQ1KJJ4pM",FALSE,0,"POTUS",2022-02-24 18:24:49,TRUE,NA,"1496914025527259138","1349149096909668363","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WidingSharon",0,FALSE,FALSE,NA,NA
"5629","RT @MichaelDeLauzon: Every time you buy gasoline you are paying for Biden’s Green New Deal and Climate (money laundering) Change.",FALSE,0,NA,2022-02-24 18:24:15,FALSE,NA,"1496913882752839680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","salesman19621",21,TRUE,FALSE,NA,NA
"5630","RT @TheUSASingers: The Green New Deal, implemented worldwide, would bankrupt Putin once and for all.",FALSE,0,NA,2022-02-24 18:24:04,FALSE,NA,"1496913837957664773",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CharleneCoscar1",94,TRUE,FALSE,NA,NA
"5631","RT @Cernovich: The Green New Deal mindset shut down domestic energy production. No nuclear energy. No fracking. No keystone pipeline. It wa…",FALSE,0,NA,2022-02-24 18:23:42,FALSE,NA,"1496913743824912384",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nnnanceee",1964,TRUE,FALSE,NA,NA
"5632","RT @jdcmedlock: We could call it a ""Green New Deal""",FALSE,0,NA,2022-02-24 18:23:29,FALSE,NA,"1496913690977009667",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","EthanSabourin",201,TRUE,FALSE,NA,NA
"5633","RT @jackie_argo: JUST IN: Marjorie Taylor Greene Slams Green New Deal, AOC, Biden In Hous... https://t.co/LKGd4fiAhc via @YouTube",FALSE,0,NA,2022-02-24 18:23:14,FALSE,NA,"1496913625214177282",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","time2rebirth",1,TRUE,FALSE,NA,NA
"5634","RT @jdcmedlock: We could call it a ""Green New Deal""",FALSE,0,NA,2022-02-24 18:23:10,FALSE,NA,"1496913608013336586",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KamyabMashian",201,TRUE,FALSE,NA,NA
"5635","RT @Cernovich: The Green New Deal mindset shut down domestic energy production. No nuclear energy. No fracking. No keystone pipeline. It wa…",FALSE,0,NA,2022-02-24 18:23:02,FALSE,NA,"1496913575818010629",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","blust_dan",1964,TRUE,FALSE,NA,NA
"5636","RT @TheUSASingers: The Green New Deal, implemented worldwide, would bankrupt Putin once and for all.",FALSE,0,NA,2022-02-24 18:22:45,FALSE,NA,"1496913505907261440",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","epilady1960",94,TRUE,FALSE,NA,NA
"5637","Imagine having a platform so bad (green new deal) that you have to torture or even bankrupt families to comply.

Li… https://t.co/LVQooGs9NG",FALSE,1,NA,2022-02-24 18:22:42,TRUE,NA,"1496913491025924101",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PatriotBroker",2,FALSE,FALSE,NA,NA
"5638","#Biden Green  New Deal is handing democratic nations over to Putin.. https://t.co/LGSQfNxcnx",FALSE,0,NA,2022-02-24 18:22:39,FALSE,NA,"1496913481412583431",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mojomountains",0,FALSE,FALSE,NA,NA
"5639","RT @assliken: And here is what all the ""green new deal"" type of garbage gets you

making deals with the devil so you can pretend to be righ…",FALSE,0,NA,2022-02-24 18:22:36,FALSE,NA,"1496913466174558218",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JonClem310",170,TRUE,FALSE,NA,NA
